id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
103415,blue-square-gals,Blue Square Gals,,2017-10-28,False,2019-01-09T12:41:06,,0.0,0,0,0,0,100,0,0,Android,Oscar Celestini Retrogames,Puzzle,,,0,0,0,0,0,0
103416,zombification,Zombification,,2015-02-03,False,2019-01-09T12:41:06,,0.0,0,0,0,1,152,0,1,PC,OutOfMyMindGames,RPG,,,0,2,0,0,0,0
103417,2d-platformer-zombie-defend-base-survival-kit,2D Platformer - Zombie Defend Base Survival KIT,,2016-10-16,False,2019-01-09T12:41:06,,0.0,0,0,0,0,18,0,0,,Steelkrill Studio,Action,,,0,0,0,0,0,0
103418,mars-commando,Mars Commando,,2014-12-09,False,2019-08-28T23:28:17,,0.0,0,0,0,0,129,0,0,Web,Vidroid,Strategy,,,0,0,0,0,0,0
103419,ouranos-beset-by-frogs,"OURANOS, BESET BY FROGS",,2016-09-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,11,0,0,PC,rexsc,,,,0,0,0,0,0,0
10342,raceroom-racing-experience,RaceRoom Racing Experience,,2013-02-12,False,2019-09-17T03:27:40,http://game.raceroom.com,2.31,1,1,0,99,310,0,99,PC,Sector3 Studios,Simulation||Sports||Racing,Sector3 Studios||RaceRoom Entertainment,,80,1864,3,1,34,1
103420,kaiju-snap,Kaiju Snap,,2018-02-26,False,2019-01-09T12:41:06,,0.0,0,0,0,0,131,0,0,PC,Kaiju Snap,Adventure,,,0,0,0,0,0,0
103421,tripper,Tripper,,2018-08-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,7,0,0,Web,ToothandClaw,Platformer,,,0,0,0,0,0,0
103422,summer-special,Summer Special!,,2016-05-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,148,0,0,PC||macOS||Linux,Sugar Star Games,RPG,,,0,0,0,0,0,0
103423,zombie-town-itch,Zombie Town (itch),,2017-12-29,False,2019-01-09T12:41:06,,0.0,0,0,0,0,114,0,0,PC||Android,Legorobotdude,Shooter,,,0,0,0,0,0,0
103424,sagasu-hd,Sagasu HD,,2015-07-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,26,0,0,PC||macOS||Linux,PlayKiseki,,,,0,0,0,0,0,0
103425,ghost,Ghost,,2016-03-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,16,0,0,PC||macOS||Linux,Daniel J Glendening,,,,0,0,0,0,0,0
103426,ephem,Ephem,,2016-07-23,False,2019-08-28T23:24:53,,0.0,0,0,0,0,88,0,0,PC||macOS,rozel,RPG,,,0,0,0,0,0,0
103427,torn-sails,Torn Sails,,2016-09-05,False,2019-08-28T23:24:53,,0.0,0,0,0,0,16,0,0,PC,Game Greg,Action,,,0,0,0,0,0,0
103428,furymath2,FuryMath2,,2016-05-21,False,2019-01-09T12:41:06,,0.0,0,0,0,0,94,0,0,PC||macOS||Linux,FuryGames,Educational,,,0,0,0,0,0,0
103429,azusa-online,Azusa Online,,2018-02-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,213,0,0,PC,Inutaishos,RPG,,,0,0,0,0,0,0
10343,overclocked-a-history-of-violence,Overclocked: A History of Violence,70,2007-04-06,False,2019-09-17T12:05:21,,3.09,4,1,0,11,270,0,11,PC,House of Tales,Action||Adventure||Indie,THQ Nordic,,3,102,15,3,2,0
103431,timore-inferno-itch,TIMORE INFERNO (itch),,2016-02-22,False,2019-01-09T12:41:06,,0.0,0,0,0,0,306,0,0,PC,Vidas Šalavėjus,Action,,,0,0,0,0,0,0
103432,giants,G.I.A.N.T.S,,2017-08-18,False,2019-01-09T12:41:06,,0.0,0,0,0,0,11,0,0,PC,Nicholas Staracek||Nic Lyness||CalebBarton||Mechanolith||PritishCh||Macauley Bell-Maier,Adventure||Puzzle,,,0,0,0,0,0,0
103433,propaganda-demo-v03,PROPAGANDA DEMO V.0.3,,2017-09-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,16,0,0,PC,Dev Du Dimanche,Shooter,,,0,0,0,0,0,0
103434,little-antifa-novel,Little Antifa Novel,,2017-11-02,False,2019-01-09T12:41:06,,0.0,0,0,0,0,188,0,0,PC||macOS||Linux||Web,Mauro Vanetti||chiaraninjabit,,,,0,0,0,0,0,0
103435,metritronhf,MetritronHF,,2013-10-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,118,0,0,PC,Alexander Taylor,Shooter,,,0,0,0,0,0,0
103436,plugplay,Plug&Play,,2017-07-31,False,2019-01-09T12:41:06,,0.0,0,0,0,0,15,0,0,PC||Web,miro662,Puzzle,,,0,0,0,0,0,0
103437,jazzy-beats,Jazzy Beats,,2017-12-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,125,0,0,Web||PC||macOS||Linux,Whales And Games||JorgeGameDev||The 'moski||RobinHoodPT,Action||Fighting,,,0,0,0,0,0,0
103438,zen,ZEN (itch),,2015-11-04,False,2019-01-09T12:41:06,,0.0,0,0,0,0,285,0,0,PC,HarmonyStudios,,,,0,0,0,0,0,0
